group_name	nce	contrast_angle
Unmodified	34.105602	0.898015
Unmodified	32.464033	0.973280
mixed	34.999999	0.777988
Unmodified	30.401090	0.724786
Unmodified	33.063033	0.444704
Unmodified	32.691336	0.937610
mixed	32.992491	0.916825
Oxidation	34.999999	0.517720
Unmodified	32.781771	0.938354
Unmodified	33.137119	0.921930
Methyl	34.999999	0.707193
Methyl	34.999999	0.914031
Oxidation	34.999999	0.936466
TMT6plex	32.557300	0.937572
Unmodified	32.770643	0.846370
Unmodified	33.161646	0.960634
Unmodified	34.999999	0.757437
Unmodified	34.999999	0.871926
Unmodified	32.078317	0.937111
mixed	34.828243	0.918201
Acetyl	34.999999	0.904108
Unmodified	32.423359	0.907872
Unmodified	31.987086	0.868065
Unmodified	32.845008	0.933959
TMT6plex	31.881881	0.727639
Unmodified	33.401975	0.601918
TMT6plex	34.999999	0.787235
Unmodified	31.393570	0.958570
TMT6plex	34.275073	0.809104
TMT6plex	31.169245	0.881229
Unmodified	34.999999	0.652330
Unmodified	32.886979	0.947710
TMT6plex	32.135391	0.872383
Phospho	32.269418	0.788304
Unmodified	31.859112	0.760826
Unmodified	34.999999	0.775637
Unmodified	34.726280	0.617481
Unmodified	31.469667	0.965600
Phospho	31.627145	0.804012
Unmodified	34.999999	0.609566
Unmodified	31.910521	0.791305
TMT6plex	31.892380	0.932362
Oxidation	31.594953	0.836089
Oxidation	33.688051	0.645868
Oxidation	32.628104	0.843401
GlyGly (Ub)	32.337043	0.889476
TMT6plex	31.961086	0.942334
Unmodified	31.780031	0.788537
Oxidation	32.514527	0.943325
Phospho	34.999999	0.532732
TMT6plex	32.694706	0.643724
Unmodified	33.052808	0.747330
TMT6plex	40.340173	0.874856
Unmodified	32.205659	0.918918
Pyro-Glu	31.992036	0.817449
Methyl	34.999999	0.653796
mixed	33.467326	0.430360
Unmodified	31.599751	0.368393
Oxidation	31.099966	0.937060
Unmodified	33.134302	0.749533
Unmodified	31.362435	0.844704
Unmodified	32.522178	0.445671
Unmodified	32.274789	0.909478
TMT6plex	34.340182	0.829917
Unmodified	32.745868	0.922703
TMT6plex	25.787628	0.874156
TMT6plex	33.064735	0.800247
Oxidation	33.137119	0.707730
mixed	34.999999	0.570854
TMT6plex	34.340182	0.832634
Acetyl	31.486002	0.913845
TMT6plex	34.999999	0.727455
Unmodified	31.884602	0.863789
Unmodified	34.999999	0.945367
Oxidation	31.441352	0.838971
Unmodified	31.688330	0.898599
mixed	32.030192	0.876986
Unmodified	32.248676	0.936688
Oxidation	32.335588	0.816005
mixed	32.622796	0.802446
TMT6plex	32.466337	0.889262
Oxidation	32.421270	0.885809
TMT6plex	31.491634	0.735258
TMT6plex	34.999999	0.801128
Acetyl	31.276339	0.930458
Unmodified	32.651347	0.919920
Unmodified	32.734627	0.935631
GlyGly (Ub)	34.999999	0.823225
mixed	32.455844	0.841995
Unmodified	32.374242	0.900441
Unmodified	34.999999	0.868864
TMT6plex	32.789519	0.853498
Unmodified	32.151762	0.758373
TMT6plex	34.999999	0.431941
Unmodified	33.064312	0.803201
TMT6plex	31.939992	0.869075
Oxidation	34.999999	0.486330
Unmodified	33.040175	0.882361
Methyl	34.999999	0.811997
Unmodified	34.615135	0.940553
Unmodified	31.376192	0.824830
mixed	32.780725	0.851192
Unmodified	34.999999	0.778408
TMT6plex	34.999999	0.767394
Oxidation	32.289186	0.622455
mixed	34.999999	0.687393
Unmodified	32.273281	0.861208
Methyl	31.009245	0.849587
